id,name,latitude,longitude
1,"A12-cpp Sea, Netherlands",55.3992,3.8103
2,ALLIGATOR REEF,24.85,-80.6333
3,Aachen-Orsbach,50.798,6.024
4,Aadorf / Tänikon,47.4799,8.90493
5,Aalborg Airport,57.0928,9.84924
6,Aarhus Airport,56.3,10.619
7,Abbeville,50.1333,1.83333
8,Aberdeen Dyce Airport,57.2019,-2.19778
9,Aberporth,52.1333,-4.56667
10,Abha International Airport,18.2404,42.6566
11,Acquarossa / Comprovasco,46.4595,8.93549
12,Addington Field / Elizabethtown Regional Airport,37.686,-85.925
13,Adelaide International Airport,-34.945,138.531
14,Adelboden,46.4917,7.5607
15,Adolfo Suárez Madrid–Barajas Airport,40.4719,-3.56264
16,Afonso Pena Airport,-25.5285,-49.1758
17,Agen-La Garenne Airport,44.1747,0.59056
18,Ahaus,52.0813,6.9409
19,Aigle,46.3267,6.92447
20,Ajaccio-Napoléon Bonaparte Airport,41.9236,8.80292
21,Akita,39.7167,140.1
22,Al Qaisumah/Hafr Al Batin Airport,28.3352,46.1251
23,Al Wash Domestic Airport,26.1986,36.4764
24,Al-Ahsa International Airport,25.2853,49.4852
25,Al-Jawf Domestic Airport,29.7851,40.1
26,Albacete Airport / Los Llanos Air Base,38.9485,-1.86352
27,Albermarle,55.0167,-1.86667
28,Alberschwende,47.45,9.85
29,Albert Whitted Airport,27.7651,-82.627
30,Aldersbach-Kriestorf,48.616,13.051
31,Alfeld,51.9643,9.8072
32,Alfhausen,52.485,7.913
33,Alghero-Fertilia Airport,40.6321,8.29077
34,Alice Springs Airport,-23.8067,133.902
35,Alsfeld,50.756,9.258
36,Alsfeld-Eifa,50.745,9.345
37,Altdorf,46.8871,8.62189
38,Altenburg-Nobitz Airport,50.9819,12.5064
39,Altenrhein,47.4836,9.56685
40,Altenstadt,47.8342,10.8667
41,"Altheim, Kreis Biberach",48.148,9.46
42,Altmühlsee,49.142,10.73
43,Altomünster-Maisbrunn,48.406,11.312
44,Alzey,49.727,8.116
45,Amberg-Unterammersricht,49.469,11.855
46,Ambérieu Air Base (BA 278),45.9873,5.32844
47,Amerang-Pfaffing,48.02,12.293
48,Amsterdam Airport Schiphol,52.3086,4.76389
49,Ancien Aérodrome de Brive-La Roche,45.1508,1.4692
50,Andeer,46.6101,9.43198
51,Andermatt,46.6309,8.58055
52,Andernach,50.4237,7.4202
53,Angermünde,53.0316,13.9908
54,Anglesey Airport,53.2481,-4.53534
55,Ankara/Central,39.95,32.8833
56,Anklam,53.841,13.685
57,Ansbach,49.2964,10.5751
58,Antalya International Airport,36.8987,30.8005
59,Antwerp International Airport (Deurne),51.1894,4.46028
60,Aomori,40.8167,140.767
61,Apalachicola Regional Airport,29.7275,-85.0275
62,Arad International Airport,46.1766,21.262
63,Arar Domestic Airport,30.9066,41.1382
64,Araxos Airport,38.1511,21.4256
65,Arkona,54.6791,13.4344
66,Arnsberg-Neheim,51.463,7.978
67,Arnstein-Müdesheim,49.969,9.911
68,"Arolsen-Volkhardinghausen, Bad",51.322,9.056
69,Arosa,46.7927,9.67901
70,Artern,51.3744,11.292
71,Arturo Michelena International Airport,10.1497,-67.9284
72,Arzew,35.8167,-0.26667
73,Asahikawa,43.7667,142.367
74,Aschersleben-Mehringen,51.726,11.511
75,Asturias Airport,43.5636,-6.03462
76,Athen Helenikon Airport,37.8916,23.7302
77,Atlas Brasil Cantanhede Airport,2.84139,-60.6922
78,Attenkam,47.877,11.364
79,Aubenas,44.5333,4.36667
80,Aubstadt,50.333,10.449
81,Auch-Lamothe Airport,43.6878,0.60167
82,Auckland International Airport,-37.0081,174.792
83,Aue,50.591,12.714
84,Augsburg,48.4253,10.9417
85,Aurillac Airport,44.8914,2.42194
86,Auxerre Perrigny,47.8247,3.54972
87,Avignon-Caumont Airport,43.9073,4.90183
88,Aérodrome de Blois-Le Breuil,47.6785,1.20884
89,Aérodrome de Montélimar - Ancône,44.5836,4.74056
90,Aérodrome de Mâcon-Charnay,46.2951,4.79577
91,Aérodrome de Pontoise - Cormeilles en Vexin,49.0967,2.04083
92,Aérodrome de Reims Prunay,49.2087,4.15658
93,Aérodrome de Saint-Girons - Antichan,43.0078,1.10315
94,Aérodrome de Saint-Quentin - Roupy,49.8169,3.20667
95,Bacabal,-4.25,-44.7833
96,Bacău Airport,46.5219,26.9103
97,Bad Ragaz,47.0166,9.50259
98,Baden-Baden-Geroldsau,48.727,8.246
99,Balingen-Bronnhaupten,48.264,8.813
100,Balıkesir Merkez Airport,39.6193,27.926
101,Bamberg,49.8743,10.9206
102,Banja Luka,44.7833,17.2167
103,Barcelona International Airport,41.2971,2.07846
104,Bari,41.1167,16.8833
105,Bari Karol Wojtyła Airport,41.1389,16.7606
106,Barra do Garças Airport,-15.8613,-52.3889
107,Barsinghausen-Hohenbostel,52.32,9.43
108,Barth,54.3405,12.7108
109,Bartow Executive Airport,27.9434,-81.7834
110,Baruth,52.0613,13.4997
111,Basel / Binningen,47.5411,7.58352
112,Bassum,52.863,8.699
113,Bastorf-Kägsdorf (SWN),54.132,11.672
114,Beaucouze,47.4789,-0.61444
115,Beauvechain Air Base,50.7586,4.76833
116,Bedford,52.2167,-0.48333
117,Begumpet Airport,17.4531,78.4676
118,Beijing Capital International Airport,40.0801,116.585
119,Belfast International Airport,54.6575,-6.21583
120,Belgrad$Beograd,44.8,20.4667
121,Belgrade Nikola Tesla Airport,44.8184,20.3091
122,Belm,52.317,8.1694
123,Berge,52.62,12.787
124,Bergen,52.8152,9.9248
125,Bergen Airport Flesland,60.2934,5.21814
126,"Bergzabern, Bad",49.107,7.997
127,Bergün / Latsch,46.6273,9.75371
128,Berkenhout,52.65,4.98333
129,"Berleburg, Bad-Stünzel",50.984,8.368
130,Berlin Brandenburg,52.3807,13.5306
131,Berlin-Buch,52.631,13.502
132,Berlin-Dahlem (FU),52.4537,13.3017
133,Berlin-Marzahn,52.545,13.56
134,Berlin-Tempelhof,52.4675,13.4021
135,Bern / Zollikofen,46.9907,7.46406
136,Bernburg/Saale (Nord),51.822,11.711
137,Bertsdorf-Hörnitz,50.899,14.746
138,Berus,49.2641,6.6868
139,Besancon,47.25,5.98333
140,"Bevern, Kr. Holzminden",51.853,9.495
141,Beznau,47.5573,8.23333
142,Biarritz-Anglet-Bayonne Airport,43.4683,-1.53111
143,Białystok-Krywlany Airport,53.1014,23.1706
144,Bielefeld-Deppendorf,52.071,8.457
145,Bilbao Airport,43.3011,-2.91061
146,Bingley NO 2,53.8167,-1.86667
147,Binn,46.3677,8.19231
148,Birkelbach,51.011,8.273
149,Birmingham International Airport,52.4539,-1.74803
150,Birx/Rhön,50.531,10.048
151,Bischofszell,47.5088,9.2668
152,Bivio,46.4625,9.66864
153,Bière,46.5249,6.34239
154,Bjuroklubb,64.4833,21.5833
155,Blackpool International Airport,53.7717,-3.02861
156,Blankenrath,50.037,7.308
157,"Blatten, Lötschental",46.4205,7.82319
158,Blue Grass Airport,38.0365,-84.6059
159,Bob Sikes Airport,30.7788,-86.5221
160,Boca Raton Airport,26.3785,-80.1077
161,Boizenburg,53.3911,10.6878
162,Bologna,44.5333,11.2833
163,Bologna Guglielmo Marconi Airport,44.5354,11.2887
164,Boltenhagen,54.0027,11.1908
165,Boltigen,46.6235,7.38421
166,Bom Jesus,-28.6667,-50.4333
167,Bordeaux-Mérignac Airport,44.8283,-0.71556
168,Borken in Westfalen,51.873,6.886
169,Borkum-Flugplatz,53.598,6.702
170,Borkum-Süderstraße,53.579,6.67
171,Botosani,47.7333,26.65
172,Boulogne,50.7333,1.6
173,Bourg/St.Maurice,45.6167,6.76667
174,Bourges Airport,47.0581,2.37028
175,Bournemouth Airport,50.78,-1.8425
176,Bouveret,46.3935,6.85701
177,Bowman Field,38.228,-85.6637
178,Braila,45.2,27.9167
179,Brake,53.352,8.497
180,Bramham,53.8667,-1.31667
181,Brandenburg/Havel,52.423,12.567
182,Brasov-Ghimbav,45.7,25.5333
183,Braunlage,51.7234,10.6021
184,Braunschweig,52.2915,10.4464
185,Bregenz,47.5,9.75
186,Bremen,53.045,8.7979
187,Bremerhaven,53.5332,8.5761
188,Bremervörde,53.4451,9.139
189,Brest Bretagne Airport,48.4479,-4.41854
190,Bridlington,54.1,-0.16667
191,Brienz,46.7407,8.06086
192,Brig. Lysias Augusto Rodrigues Airport,-7.32044,-47.4587
193,Brilon-Thülen,51.414,8.65
194,Brisbane Archerfield Airport,-27.5703,153.008
195,Brisbane International Airport,-27.3842,153.117
196,Bristol Airport,51.3827,-2.71909
197,Brno-Tuřany Airport,49.1513,16.6944
198,Brocken,51.799,10.618
199,Brunswick Golden Isles Airport,31.2588,-81.4665
200,Brussels Airport,50.9014,4.48444
201,Brussels South Charleroi Airport,50.4592,4.45382
202,"Buchen, Kr. Neckar-Odenwald",49.518,9.321
203,Buchenbach,47.963,7.998
204,Buchs / Aarau,47.3844,8.07955
205,Budapest Liszt Ferenc International Airport,47.4298,19.2611
206,Budapest/Lorinc,47.4333,19.1833
207,Buffalora,46.6484,10.2672
208,Bukarest$Bucuresti/Filaret,44.4167,26.1
209,Bullet / La Frétaz,46.8406,6.57637
210,Burgas Airport,42.5696,27.5152
211,Burgwald-Bottendorf,51.031,8.815
212,Bursa Yenişehir Airport,40.2552,29.5626
213,Buzau,45.1333,26.85
214,Büchel (Flugplatz),50.1746,7.0595
215,Bückeburg,52.2817,9.0889
216,Băneasa International Airport,44.5032,26.1021
217,Cabauw Tower,51.9667,4.93333
218,Caen-Carpiquet Airport,49.1733,-0.45
219,Cagliari Elmas Airport,39.2515,9.05428
220,Cairns AAF (Fort Rucker) Air Field,31.2757,-85.7134
221,Calarasi,44.2,27.3333
222,Camborne,50.2167,-5.31667
223,Cambridge Airport,52.205,0.175
224,Camilla Mitchell County Airport,31.2129,-84.2368
225,Campo Délio Jardim de Mattos Airport,-22.8751,-43.3847
226,Campo de Marte Airport,-23.5091,-46.6378
227,Canberra International Airport,-35.3069,149.195
228,Cape Canaveral AFS Skid Strip,28.4676,-80.5666
229,Capital City Airport,38.1825,-84.9047
230,Caransebeş Airport,45.42,22.2533
231,Carcassonne Airport,43.216,2.30632
232,Cardiff International Airport,51.3967,-3.34333
233,Carlisle,54.9333,-2.96667
234,Carlsfeld,50.4313,12.6114
235,Cataratas International Airport,-25.6003,-54.485
236,Ceahlau Toaca,46.9833,25.95
237,Cecil Airport,30.2187,-81.8767
238,Celje,46.25,15.25
239,Celle,52.5959,10.0296
240,Cerklje Ob Krki,45.8987,15.5184
241,Cevio,46.3205,8.60316
242,Cham,47.1883,8.46464
243,Chambéry-Savoie Airport,45.6381,5.88023
244,Charles de Gaulle International Airport,49.0128,2.55
245,Charleville-Mézières Airport,49.7839,4.64708
246,Charlotte County Airport,26.9202,-81.9905
247,Charlwood,51.15,-0.23333
248,Chartres,48.4667,1.5
249,Chasseral,47.1318,7.05437
250,Chaumont,47.0492,6.97882
251,Chemnitz,50.7913,12.872
252,Chengdu Shuangliu International Airport,30.5785,103.947
253,Chiba,35.6,140.1
254,Chicago O'Hare International Airport,41.9786,-87.9048
255,Chieming,47.8843,12.5404
256,Chinchilla/Cenad,38.9333,-1.66667
257,Chitradurga,14.2333,76.4333
258,Chièvres Air Base,50.5758,3.831
259,Chongqing Jiangbei International Airport,29.7192,106.642
260,Christchurch International Airport,-43.4894,172.532
261,Chur,46.8704,9.53051
262,Churanov,49.0667,13.6167
263,Château-d'Oex,46.4798,7.13966
264,Châteaudun (BA 279) Air Base,48.0581,1.37662
265,"Châteauroux-Déols ""Marcel Dassault"" Airport",46.8603,1.72111
266,Ciampino–G. B. Pastine International Airport,41.7994,12.5949
267,Cimetta,46.2005,8.79165
268,Cincinnati Northern Kentucky International Airport,39.0488,-84.6678
269,City Of Derry Airport,55.0428,-7.16111
270,Clark Regional Airport,38.3654,-85.7382
271,Clearwater Air Park,27.9767,-82.7587
272,Clermont-Ferrand Auvergne Airport,45.7867,3.16917
273,Cleveland Hopkins International Airport,41.4117,-81.8498
274,Cluj-Napoca International Airport,46.7852,23.6862
275,Cognac-Châteaubernard (BA 709) Air Base,45.6583,-0.3175
276,Col des Mosses,46.3915,7.09824
277,Col du Grand St-Bernard,45.8691,7.17068
278,Coleshill,52.4833,-1.68333
279,Colmar-Houssen Airport,48.1099,7.35901
280,Comandante Gustavo Kraemer Airport,-31.3905,-54.1122
281,Confins (Aero),-19.6167,-43.9667
282,Constanta,44.2167,28.65
283,Copenhagen Kastrup Airport,55.6179,12.656
284,Copernicus Wrocław Airport,51.1027,16.8858
285,Cork Airport,51.8413,-8.49111
